road,id,model_type,name,lat,lon,length,condition,lengthR,lengthL,conditionR,conditionL,bridgedual,crossing,idx
N1,1000018,link,N1_LRP012b_LRP011c,23.6910552,90.5451386,36.999999999999034,,,,,,,,
N1,1000019,bridge,N1_LRP011c_LRP011c_E,23.6909119315151,90.5454624957575,10.6,1,,,,,,,
N1,1000020,link,N1_LRP011c_E_LRP012c,23.690870887030304,90.54555528751516,117.39999999999995,,,,,,,,
N1,31,intersection,N1_LRP012c_LRP013,23.6904163,90.546583,587.9999999999992,,,,,,,123456796.0,123456795.0
N1,1000021,link,N1_LRP012c_LRP013a,23.6904163,90.546583,136.00000000000102,,,,,,,,
N1,1000022,bridge,N1_LRP013a_LRP013a_E,23.685583027027,90.551207981081,26.3,0,26.3,26.9,0,0,1,,
N1,1000023,link,N1_LRP013a_E_LRP013b,23.685170344779998,90.55125975112,1.6999999999995907,,,,,,,,
N1,1000024,bridge,N1_LRP013b_LRP013b_E,23.6853619779342,90.5513591765258,27.5,0,27.5,27.5,0,0,1,,
N1,1000025,link,N1_LRP013b_E_LRP014a,23.6849261919,90.5514114276,858.4999999999993,,,,,,,,
N1,1000026,bridge,N1_LRP014a_LRP014a_E,23.6778035,90.5558194349999,11.9,0,,,,,,,
N1,1000027,link,N1_LRP014a_E_LRP016a,23.677717225000002,90.55586901873,1879.0999999999992,,,,,,,,
N1,1000028,bridge,N1_LRP016a_LRP016a_E,23.6633090696149,90.563856994797,5.55,1,,,,,,,
N1,1000029,link,N1_LRP016a_E_LRP016b,23.663264315015606,90.56388089791363,771.4500000000015,,,,,,,,
N1,1000030,bridge,N1_LRP016b_LRP016c,23.6591111,90.5697216,160.00000000000014,0,,,,,,,
N1,1000031,link,N1_LRP016c_LRP017a,23.6583056,90.5709993,428.9999999999985,,,,,,,,
N1,1000032,bridge,N1_LRP017a_LRP017b,23.6559722,90.5743327,159.51,2,,,,,,,
N1,1000033,link,N1_LRP017b_LRP017c,23.6559167,90.5745271,352.00000000000034,,,,,,,,
N1,1000034,bridge,N1_LRP017c_LRP017d,23.6540556,90.5772771,30.000000000001137,0,,,,,,,
N1,1000035,link,N1_LRP017d_LRP018a,23.6539167,90.5774993,628.9999999999977,,,,,,,,
N1,1000036,bridge,N1_LRP018a_LRP018b,23.6508889,90.5826382,20.45,0,20.45,20.25,0,0,1,,
N1,1000037,link,N1_LRP018b_LRP018d,23.6506944,90.5829993,189.00000000000006,,,,,,,,
N1,1000038,bridge,N1_LRP018d_LRP018c_E,23.6497543993548,90.5845490085483,25.5,1,25.5,25.5,1,1,1,,
N1,1000039,link,N1_LRP018c_E_LRP019b,23.649632547419355,90.58474989669355,624.5000000000013,,,,,,,,
N1,1000040,bridge,N1_LRP019b_LRP019b_E,23.6459685949152,90.5892119813559,40.33,1,40.33,40.33,1,1,1,,
N1,1000041,link,N1_LRP019b_E_LRP020a,23.645565678889,90.589281367037,977.6699999999998,,,,,,,,
N1,1000042,bridge,N1_LRP020a_LRP020a_E,23.6379543715384,90.5936673976923,6.0,0,,,,,,,
N1,1000043,link,N1_LRP020a_E_LRP020b,23.638042316870415,90.59399565427873,575.9999999999969,,,,,,,,
N1,1000044,bridge,N1_LRP020b_LRP020c,23.6341108,90.5970274,10.4,1,,,,,,,
N1,1000045,link,N1_LRP020c_LRP021d,23.6335552,90.5976941,742.0000000000008,,,,,,,,
N1,1000046,bridge,N1_LRP021d_LRP021c_E,23.6284668507692,90.6023015723077,89.75,0,89.75,89.75,0,0,1,,
N1,1000047,link,N1_LRP021c_E_LRP022a,23.62785469377641,90.60283849444923,492.94000000000085,,,,,,,,
N1,1000048,bridge,N1_LRP022a_LRP022b,23.6242216,90.6055278,5.5,1,,,,,,,
N1,1000049,link,N1_LRP022b_LRP022c,23.6224993,90.6066944,259.00000000000034,,,,,,,,
N1,1000050,bridge,N1_LRP022c_LRP022d,23.6204716,90.6079722,121.99999999999989,0,,,,,,,
N1,1000051,link,N1_LRP022d_LRP023d,23.6195271,90.6085833,707.0000000000007,,,,,,,,
N1,1000052,bridge,N1_LRP023d_LRP023d_E,23.613587384385,90.6109029561497,119.32,0,119.32,119.32,0,0,1,,
N1,1000053,link,N1_LRP023d_E_LRP026a,23.612583936272,90.611281412696,2914.6800000000007,,,,,,,,
N1,1000054,bridge,N1_LRP026a_LRP026a_E,23.5929818827893,90.6279699370919,5.6,0,,,,,,,
N1,1000055,link,N1_LRP026a_E_LRP026b,23.59285891676,90.62797063352001,331.40000000000214,,,,,,,,
N1,1000056,bridge,N1_LRP026b_LRP026b_E,23.5908088547468,90.6302368598101,5.5,0,,,,,,,
N1,1000057,link,N1_LRP026b_E_LRP027a,23.59070649635,90.6302353427,662.4999999999978,,,,,,,,
N1,1000058,bridge,N1_LRP027a_LRP027a_E,23.58631812254,90.6345094207093,5.6,0,,,,,,,
N1,1000059,link,N1_LRP027a_E_LRP028a,23.58624479554,90.63461629864,542.3999999999971,,,,,,,,
N1,1000060,bridge,N1_LRP028a_LRP028b,23.5825827,90.6381386,172.1,0,173.25,172.1,0,0,1,,
N1,1000061,link,N1_LRP028b_LRP029a,23.577916,90.6419719,742.9999999999986,,,,,,,,
N1,1000062,bridge,N1_LRP029a_LRP029b,23.572166,90.6451108,29.77,0,29.77,29.425,0,0,1,,
N1,1000063,link,N1_LRP029b_LRP030a,23.5718327,90.6453052,1013.9999999999993,,,,,,,,
N1,1000064,bridge,N1_LRP030a_LRP030b,23.5639167,90.6501944,34.7,0,,,,,,,
N1,1000065,link,N1_LRP030b_LRP030c,23.5636944,90.6504722,532.0,,,,,,,,
N1,1000066,bridge,N1_LRP030c_LRP030d,23.5604167,90.6542222,38.000000000000256,0,,,,,,,
N1,1000067,link,N1_LRP030d_LRP031a,23.5602222,90.6545,173.00000000000182,,,,,,,,
N1,1000068,bridge,N1_LRP031a_LRP031a_E,23.5591910296296,90.6557475703703,26.85,0,26.85,26.85,0,0,1,,
N1,1000069,link,N1_LRP031a_E_LRP031b,23.558983617020907,90.65594205849304,413.14999999999816,,,,,,,,
N1,1000070,bridge,N1_LRP031b_LRP031c,23.5564444,90.6588611,40.0000000000027,0,,,,,,,
N1,1000071,link,N1_LRP031c_LRP032b,23.5562222,90.6591389,83.99999999999963,,,,,,,,
N1,1000072,bridge,N1_LRP032b_LRP032a_E,23.5557082901265,90.6597414245569,29.83,0,29.83,29.83,0,0,1,,
N1,1000073,link,N1_LRP032a_E_LRP032e,23.55553086886076,90.65994943898734,620.000000000001,,,,,,,,
N1,1000074,bridge,N1_LRP032e_LRP032d_E,23.5517421907216,90.6643538752577,29.9,0,29.9,29.9,0,0,1,,
N1,1000075,link,N1_LRP032d_E_LRP033a,23.551554374623787,90.6645816871966,681.1000000000007,,,,,,,,
N1,1000076,bridge,N1_LRP033a_LRP033b,23.5474163,90.6694438,5.2,0,,,,,,,
N1,1000077,link,N1_LRP033b_LRP034c,23.5469441,90.6699993,1202.999999999996,,,,,,,,
N1,1000078,bridge,N1_LRP034c_LRP034c_E,23.5393910168,90.6784577888,5.1,2,,,,,,,
N1,1000079,link,N1_LRP034c_E_LRP035a,23.53935871697,90.67849334702,524.9000000000024,,,,,,,,
N1,1000080,bridge,N1_LRP035a_LRP035b,23.536083,90.6821382,9.5,0,,,,,,,
N1,1000081,link,N1_LRP035b_LRP036b,23.5358608,90.6823604,727.0000000000039,,,,,,,,
N1,1000082,bridge,N1_LRP036b_LRP036a_E,23.5313996605222,90.68744892596,25.45,0,,,,,,,
N1,1000083,link,N1_LRP036a_E_LRP036c,23.531251200307217,90.68761932703534,274.4999999999962,,,,,,,,
N1,1000084,bridge,N1_LRP036c_LRP036c_E,23.5301519626506,90.6897951837349,8.4,0,,,,,,,
N1,1000085,link,N1_LRP036c_E_LRP038d,23.530187772959998,90.68988087028,2827.5999999999967,,,,,,,,
N1,1000086,bridge,N1_LRP038d_LRP038e,23.5315271,90.7173604,17.000000000003013,0,,,,,,,
N1,1000087,link,N1_LRP038e_LRP040b,23.5315827,90.7176104,743.9999999999998,,,,,,,,
N1,1000088,bridge,N1_LRP040b_LRP040b_E,23.5324186,90.7242807234,22.450000000000003,2,,,,,,,
N1,1000089,link,N1_LRP040b_E_LRP040c,23.53244105,90.72448214929,533.5499999999981,,,,,,,,
N1,1000090,bridge,N1_LRP040c_LRP040c_E,23.5317587831999,90.7291780095,6.0,1,,,,,,,
N1,1000091,link,N1_LRP040c_E_LRP042a,23.531735949599998,90.7292296785,2362.000000000002,,,,,,,,
N1,1000092,bridge,N1_LRP042a_LRP042b,23.5293882,90.7514167,16.999999999995907,0,,,,,,,
N1,1000093,link,N1_LRP042b_LRP043a,23.5293882,90.7515833,691.0000000000025,,,,,,,,
N1,1000094,bridge,N1_LRP043a_LRP043a_E,23.5298050611,90.75825325,16.5,2,,,,,,,
N1,1000095,link,N1_LRP043a_E_LRP046a,23.52981468555,90.758414125,2211.500000000001,,,,,,,,
N1,1000096,bridge,N1_LRP046a_LRP046a_E,23.5307655282208,90.7800797251533,3.9,2,,,,,,,
N1,1000097,link,N1_LRP046a_E_LRP047a,23.530766990601226,90.78011800736196,1703.0999999999992,,,,,,,,
N1,1000098,bridge,N1_LRP047a_LRP047a_E,23.5308683409424,90.7918075171727,6.5,2,,,,,,,
N1,1000099,link,N1_LRP047a_E_LRP048a,23.5309800424,90.79650283254999,794.4999999999923,,,,,,,,
N1,1000100,bridge,N1_LRP048a_LRP048b,23.5308882,90.8041389,20.000000000003126,0,,,,,,,
N1,1000101,link,N1_LRP048b_LRP049a,23.530916,90.8043611,692.0000000000002,,,,,,,,
N1,1000102,bridge,N1_LRP049a_LRP049a_E,23.5318234765,90.8110155135,15.9,1,,,,,,,
N1,1000103,link,N1_LRP049a_E_LRP050a,23.53184909299,90.81116743641,1463.0999999999972,,,,,,,,
N1,1000104,bridge,N1_LRP050a_LRP050b,23.5346663,90.8249716,15.999999999998238,0,,,,,,,
N1,1000105,link,N1_LRP050b_LRP051a,23.5347219,90.8251104,679.000000000002,,,,,,,,
N1,1000106,bridge,N1_LRP051a_LRP051a_E,23.5329743291,90.8309774761999,12.2,0,,,,,,,
N1,1000107,link,N1_LRP051a_E_LRP053a,23.53290993628,90.83107270696,1742.8000000000027,,,,,,,,
N1,1000108,bridge,N1_LRP053a_LRP053a_E,23.5229166652,90.8442186132,4.5,2,,,,,,,
N1,1000109,link,N1_LRP053a_E_LRP056a,23.522891165049998,90.84425236455,3015.499999999996,,,,,,,,
N1,1000110,bridge,N1_LRP056a_LRP056b,23.5133056,90.8703049,28.9,2,,,,,,,
N1,1000111,link,N1_LRP056b_LRP059a,23.5131111,90.8706382,3463.000000000001,,,,,,,,
N1,1000112,bridge,N1_LRP059a_LRP059a_E,23.5060024341,90.9021745389,5.9,1,,,,,,,
N1,1000113,link,N1_LRP059a_E_LRP061a,23.50600620361,90.90223222969,1986.1000000000004,,,,,,,,
N1,1000114,bridge,N1_LRP061a_LRP061a_E,23.5056131416,90.9214660218,3.0,1,,,,,,,
N1,1000115,link,N1_LRP061a_E_LRP064a,23.5056125584,90.9214951032,2265.0000000000005,,,,,,,,
N1,1000116,bridge,N1_LRP064a_LRP064a_E,23.5024077848,90.9432418928,6.0,1,,,,,,,
N1,1000117,link,N1_LRP064a_E_LRP064c,23.502394452,90.943299672,433.9999999999975,,,,,,,,
N1,1000118,bridge,N1_LRP064c_LRP064c_E,23.5013551924,90.9473844088999,3.0,0,,,,,,,
N1,1000119,link,N1_LRP064c_E_LRP067a,23.5013476912,90.9474122432,2637.0000000000005,,,,,,,,
N1,1000120,bridge,N1_LRP067a_LRP067a_E,23.495896314,90.9715772516,4.6,1,,,,,,,
N1,1000121,link,N1_LRP067a_E_LRP068a,23.4958822587,90.97161903477999,1857.4000000000126,,,,,,,,
N1,1000122,bridge,N1_LRP068a_LRP068a_E,23.4932728146,90.9887200416,4.5,0,,,,,,,
N1,1000123,link,N1_LRP068a_E_LRP070,23.49325881465,90.9887614164,681.4999999999998,,,,,,,,
N1,42,intersection,N1_LRP070_LRP070a,23.4911386,90.9950274,890.0000000000006,,,,,,,123456810.0,123456809.0
N1,1000124,link,N1_LRP070_LRP072a,23.4911386,90.9950274,911.0000000000014,,,,,,,,
N1,1000125,bridge,N1_LRP072a_LRP072b,23.4890552,91.0120278,22.825000000000003,2,,,,,,,
N1,1000126,link,N1_LRP072b_LRP075a,23.4889441,91.01225,3721.999999999994,,,,,,,,
N1,1000127,bridge,N1_LRP075a_LRP075a_E,23.4817873233065,91.0463348850746,4.6,1,,,,,,,
N1,1000128,link,N1_LRP075a_E_LRP076a,23.48177463636,91.0463917485,1028.4000000000049,,,,,,,,
N1,1000129,bridge,N1_LRP076a_LRP076a_E,23.4817498298684,91.0563549686842,4.6,1,,,,,,,
N1,1000130,link,N1_LRP076a_E_LRP077a,23.481853782920002,91.05640788292,1164.4000000000005,,,,,,,,
N1,1000131,bridge,N1_LRP077a_LRP077a_E,23.480613086,91.0674097692,1.5,0,,,,,,,
N1,1000132,link,N1_LRP077a_E_LRP079a,23.48061091925,91.06742368485,1899.5000000000175,,,,,,,,
N1,1000133,bridge,N1_LRP079a_LRP079a_E,23.4776722851,91.0847406393,1.0,2,,,,,,,
N1,1000134,link,N1_LRP079a_E_LRP081a,23.4776734518,91.0847501674,2565.999999999988,,,,,,,,
N1,1000135,bridge,N1_LRP081a_LRP081a_E,23.4781159049382,91.1070332074074,3.0,1,,,,,,,
N1,1000136,link,N1_LRP081a_E_LRP084a,23.4781188929,91.1070617945,894.0000000000055,,,,,,,,
N1,24,intersection,N1_LRP084a_LRP084b,23.4789716,91.118166,546.999999999997,,,,,,,123456792.0,123456791.0
N1,1000137,link,N1_LRP084a_LRP083a,23.4789716,91.118166,43.99999999999693,,,,,,,,
N1,1000138,bridge,N1_LRP083a_LRP083a_E,23.4794083880733,91.1238920825688,1.4,0,,,,,,,
N1,1000139,link,N1_LRP083a_E_LRP083b,23.479410796330274,91.12390546155963,550.6000000000029,,,,,,,,
N1,1000140,bridge,N1_LRP083b_LRP083b_E,23.479544924,91.129047144,2.9,0,,,,,,,
N1,1000141,link,N1_LRP083b_E_LRP086,23.47953517681,91.12907268111,837.0999999999924,,,,,,,,
N1,43,intersection,N1_LRP086_LRP087,23.4767216,91.1364441,1000.0,,,,,,,123456812.0,123456811.0
N1,1000142,link,N1_LRP086_LRP089a,23.4767216,91.1364441,2303.0000000000114,,,,,,,,
N1,1000143,bridge,N1_LRP089a_LRP089b,23.448833,91.1471386,24.00000000000091,0,,,,,,,
N1,1000144,link,N1_LRP089b_LRP088a,23.4486386,91.1472497,556.999999999988,,,,,,,,
N1,1000145,bridge,N1_LRP088a_LRP088a_E,23.4436339598272,91.1493668151188,23.125,1,,,,,,,
N1,1000146,link,N1_LRP088a_E_LRP093a,23.443413363309936,91.14944866663068,2784.8750000000136,,,,,,,,
N1,1000147,bridge,N1_LRP093a_LRP093b,23.4235827,91.1629722,37.00000000000614,0,,,,,,,
N1,1000148,link,N1_LRP093b_LRP092a,23.423416,91.1632778,533.9999999999918,,,,,,,,
N1,1000149,bridge,N1_LRP092a_LRP092a_E,23.4212487704918,91.1678943372365,35.935,2,,,,,,,
N1,1000150,link,N1_LRP092a_E_LRP095a,23.421094485631148,91.16820992564402,1504.0650000000114,,,,,,,,
N1,1000151,bridge,N1_LRP095a_LRP095b,23.4131111,91.1846663,27.999999999991587,0,,,,,,,
N1,1000152,link,N1_LRP095b_LRP094a,23.4130556,91.1849163,939.9999999999977,,,,,,,,
N1,1000153,bridge,N1_LRP094a_LRP094a_E,23.4119324230158,91.1939029849206,27.625,2,,,,,,,
N1,1000154,link,N1_LRP094a_E_LRP098,23.411899689583333,91.19416333958334,1528.375000000011,,,,,,,,
N1,23,intersection,N1_LRP098_LRP099,23.4100833,91.2087778,1016.9999999999959,,,,,,,123456790.0,123456789.0
N1,1000155,link,N1_LRP098_LRP099a,23.4100833,91.2087778,171.99999999999704,,,,,,,,
N1,1000156,bridge,N1_LRP099a_LRP099b,23.40375,91.2176382,28.999999999996362,0,,,,,,,
N1,1000157,link,N1_LRP099b_LRP098a,23.4035556,91.2178049,883.0000000000098,,,,,,,,
N1,1000158,bridge,N1_LRP098a_LRP098a_E,23.3976518197887,91.2234221346859,27.625,1,,,,,,,
N1,1000159,link,N1_LRP098a_E_LRP102a,23.39746711771818,91.22359787206784,2786.3749999999927,,,,,,,,
N1,1000160,bridge,N1_LRP102a_LRP102b,23.3779716,91.2403608,30.000000000001137,0,,,,,,,
N1,1000161,link,N1_LRP102b_LRP101a,23.3777493,91.2405274,837.0000000000033,,,,,,,,
N1,1000162,bridge,N1_LRP101a_LRP101a_E,23.3713647755,91.2450175414999,30.439999999999998,0,,,,,,,
N1,1000163,link,N1_LRP101a_E_LRP105a,23.371133939847997,91.24518073338399,1645.5600000000031,,,,,,,,
N1,1000164,bridge,N1_LRP105a_LRP105b,23.3586389,91.25325,14.3,0,,,,,,,
N1,44,intersection,N1_LRP105b_LRP106,23.3584444,91.2533333,609.9999999999994,,,,,,,123456828.0,123456827.0
N1,1000165,link,N1_LRP105b_LRP104a,23.3584444,91.2533333,207.9999999999984,,,,,,,,
N1,1000166,bridge,N1_LRP104a_LRP104a_E,23.3521636774381,91.2572910746724,22.84,2,,,,,,,
N1,1000167,link,N1_LRP104a_E_LRP108a,23.351995592326055,91.25741759231441,2213.159999999988,,,,,,,,
N1,1000168,bridge,N1_LRP108a_LRP108b,23.3360274,91.2700549,44.00000000001114,0,,,,,,,
N1,1000169,link,N1_LRP108b_LRP107a,23.3357219,91.2703049,783.0000000000013,,,,,,,,
N1,1000170,bridge,N1_LRP107a_LRP107a_E,23.3301462324,91.2748792824,24.0,0,,,,,,,
N1,1000171,link,N1_LRP107a_E_LRP110a,23.329964898,91.27500394799999,777.9999999999916,,,,,,,,
N1,1000172,bridge,N1_LRP110a_LRP110b,23.324166,91.2791104,19.2,1,,,,,,,
N1,1000173,link,N1_LRP110b_LRP109a,23.3240827,91.279166,793.9999999999969,,,,,,,,
N1,1000174,bridge,N1_LRP109a_LRP109a_E,23.3180696869138,91.2830867321701,9.2,0,,,,,,,
N1,1000175,link,N1_LRP109a_E_LRP111a,23.318000014721918,91.28313216130861,383.7999999999937,,,,,,,,
N1,1000176,bridge,N1_LRP111a_LRP111b,23.3149444,91.2844719,3.2,0,,,,,,,
N1,1000177,link,N1_LRP111b_LRP110c,23.31475,91.2845552,1359.9999999999995,,,,,,,,
N1,1000178,bridge,N1_LRP110c_LRP110c_E,23.3034306450331,91.2889770397351,2.6,1,,,,,,,
N1,1000179,link,N1_LRP110c_E_LRP113a,23.30342732172,91.28896842172,867.3999999999893,,,,,,,,
N1,1000180,bridge,N1_LRP113a_LRP113b,23.296083,91.2914997,4.6,1,,,,,,,
N1,1000181,link,N1_LRP113b_LRP112a,23.2959719,91.2915274,727.9999999999944,,,,,,,,
N1,1000182,bridge,N1_LRP112a_LRP112a_E,23.2897066386454,91.2929584711155,13.4,0,,,,,,,
N1,1000183,link,N1_LRP112a_E_LRP114a,23.28962964248,91.2930451,2194.599999999994,,,,,,,,
N1,1000184,bridge,N1_LRP114a_LRP114a_E,23.27301895,91.3029661882,6.3,1,,,,,,,
N1,1000185,link,N1_LRP114a_E_LRP116a,23.272966975,91.30298998834,1328.700000000012,,,,,,,,
N1,1000186,bridge,N1_LRP116a_LRP116a_E,23.2618360940594,91.3070217386138,3.0,1,,,,,,,
N1,1000187,link,N1_LRP116a_E_LRP116b,23.26180969108911,91.30702565792079,270.9999999999866,,,,,,,,
N1,1000188,bridge,N1_LRP116b_LRP116b_E,23.25941665,91.3073611,3.0,1,,,,,,,
N1,1000189,link,N1_LRP116b_E_LRP116c,23.2593888473,91.3073880491,196.00000000001216,,,,,,,,
N1,1000190,bridge,N1_LRP116c_LRP116c_E,23.2576429774881,91.3076156494075,3.6,1,,,,,,,
N1,1000191,link,N1_LRP116c_E_LRP117a,23.25760907398,91.30765972466,545.3999999999866,,,,,,,,
N1,1000192,bridge,N1_LRP117a_LRP117a_E,23.2527463398104,91.3083926405213,4.5,1,,,,,,,
N1,1000193,link,N1_LRP117a_E_LRP119b,23.25270578065,91.30840819355001,529.500000000013,,,,,,,,
N1,1000194,bridge,N1_LRP119b_LRP119c,23.248333,91.3098056,3.1,1,,,,,,,
N1,1000195,link,N1_LRP119c_LRP118a,23.2481663,91.3098889,456.00000000000307,,,,,,,,
N1,1000196,bridge,N1_LRP118a_LRP118a_E,23.2443915125925,91.3114032292592,2.5,1,,,,,,,
N1,1000197,link,N1_LRP118a_E_LRP118b,23.244371194074073,91.31141120240741,179.50000000000443,,,,,,,,
N1,1000198,bridge,N1_LRP118b_LRP118b_E,23.2429040619631,91.3119739539877,19.2,1,,,,,,,
N1,1000199,link,N1_LRP118b_E_LRP118d,23.24273013244,91.31196695,338.799999999992,,,,,,,,
N1,1000200,bridge,N1_LRP118d_LRP118d_E,23.2397920309669,91.3125740860465,2.6,0,,,,,,,
N1,1000201,link,N1_LRP118d_E_LRP119a,23.23973339152,91.3123937,419.4000000000102,,,,,,,,
N1,1000202,bridge,N1_LRP119a_LRP119a_E,23.2360759516523,91.3129901976744,2.5,0,,,,,,,
N1,1000203,link,N1_LRP119a_E_LRP120a,23.2360300377,91.31292107499999,1138.4999999999934,,,,,,,,
N1,1000204,bridge,N1_LRP120a_LRP120a_E,23.2259184472573,91.3135697177215,2.6,1,,,,,,,
N1,1000205,link,N1_LRP120a_E_LRP120b,23.22588244078832,91.31355409570803,435.40000000000134,,,,,,,,
N1,1000206,bridge,N1_LRP120b_LRP120b_E,23.2220338977777,91.3137005933333,6.0,0,,,,,,,
N1,1000207,link,N1_LRP120b_E_LRP121b,23.221970313881748,91.31398299357326,1000.0,,,,,,,,
N1,1000208,bridge,N1_LRP121b_LRP121b_E,23.2131955721448,91.3153497403899,14.3,1,,,,,,,
N1,1000209,link,N1_LRP121b_E_LRP122a,23.21308631999,91.31533921665,918.699999999987,,,,,,,,
N1,1000210,bridge,N1_LRP122a_LRP122a_E,23.2050386287937,91.3163167282749,6.1,0,,,,,,,
N1,1000211,link,N1_LRP122a_E_LRP123a,23.20500802635,91.31632418577,1029.8999999999978,,,,,,,,
N1,1000212,bridge,N1_LRP123a_LRP123a_E,23.1961887953757,91.3176705069364,6.1,0,,,,,,,
N1,1000213,link,N1_LRP123a_E_LRP124a,23.19612859753,91.31784729784,1071.8999999999994,,,,,,,,
N1,1000214,bridge,N1_LRP124a_LRP124a_E,23.1874350254302,91.3209051317399,6.1,2,,,,,,,
N1,1000215,link,N1_LRP124a_E_LRP126a,23.18738480715105,91.32092845869981,83.89999999999986,,,,,,,,
N1,1000216,bridge,N1_LRP126a_LRP126b,23.1866941,91.3212493,3.1,1,,,,,,,
N1,1000217,link,N1_LRP126b_LRP125a,23.1866108,91.3212771,563.0000000000024,,,,,,,,
N1,1000218,bridge,N1_LRP125a_LRP125a_E,23.1817958149837,91.3208787514658,9.5,1,,,,,,,
N1,1000219,link,N1_LRP125a_E_LRP128a,23.18171248122232,91.32102979743136,1567.4999999999955,,,,,,,,
N1,1000220,bridge,N1_LRP128a_LRP128b,23.1681382,91.3213604,6.3,1,,,,,,,
N1,1000221,link,N1_LRP128b_LRP127a,23.1680549,91.3213604,510.9999999999957,,,,,,,,
N1,1000222,bridge,N1_LRP127a_LRP127a_E,23.1635138669191,91.3215889464646,9.5,0,,,,,,,
N1,1000223,link,N1_LRP127a_E_LRP129a,23.1634367629,91.3216424129,2309.5,,,,,,,,
N1,1000224,bridge,N1_LRP129a_LRP129a_E,23.1436667679334,91.3266680470308,3.5,1,,,,,,,
N1,1000225,link,N1_LRP129a_E_LRP130a,23.1436466786,91.32654076785,520.4999999999984,,,,,,,,
N1,1000226,bridge,N1_LRP130a_LRP130a_E,23.1389893200345,91.3263585348877,6.1,1,,,,,,,
N1,1000227,link,N1_LRP130a_E_LRP131a,23.13893655756,91.32633597310999,657.9000000000121,,,,,,,,
N1,1000228,bridge,N1_LRP131a_LRP131a_E,23.1332639685968,91.327546416481,3.0,1,,,,,,,
N1,1000229,link,N1_LRP131a_E_LRP131b,23.1332025248,91.3275798464,954.0000000000077,,,,,,,,
N1,1000230,bridge,N1_LRP131b_LRP131b_E,23.1252363577777,91.3303863688888,6.5,0,,,,,,,
N1,1000231,link,N1_LRP131b_E_LRP132a,23.125161007248323,91.33041737295302,658.5000000000036,,,,,,,,
N1,1000232,bridge,N1_LRP132a_LRP132a_E,23.1196973774193,91.3328165129032,4.5,1,,,,,,,
N1,1000233,link,N1_LRP132a_E_LRP133a,23.11970670271739,91.3328164402174,497.5000000000023,,,,,,,,
N1,1000234,bridge,N1_LRP133a_LRP133a_E,23.1158251554,91.335094485,5.3,1,,,,,,,
N1,1000235,link,N1_LRP133a_E_LRP134a,23.115783936769997,91.33511951425001,1070.699999999988,,,,,,,,
N1,1000236,bridge,N1_LRP134a_LRP134a_E,23.1074284451388,91.3400495436111,6.1,0,,,,,,,
N1,1000237,link,N1_LRP134a_E_LRP135a,23.10736660314465,91.34007765328302,711.8999999999858,,,,,,,,
N1,1000238,bridge,N1_LRP135a_LRP135a_E,23.1017563206521,91.343162998913,3.1,1,,,,,,,
N1,1000239,link,N1_LRP135a_E_LRP135b,23.1017337173,91.34318547064,549.900000000008,,,,,,,,
N1,1000240,bridge,N1_LRP135b_LRP135b_E,23.0973512527272,91.3454956309091,9.5,1,,,,,,,
N1,1000241,link,N1_LRP135b_E_LRP136a,23.0973049475,91.345531818,538.4999999999991,,,,,,,,
